4,11807.4,50078.6,-2.76E+03,77,224,2192
3,18511.2,159861,-1.02E+04,84,388,6290
5,13694.2,53010,-5902.44,52,288,2334
5,9292.96,37924.6,-3816.82,40,180,2054
3,9530.12,39866.8,-2.90E+03,11,196,1885
0,36715.4,1350800,-24252,134,971,31560
3,13764.3,82719.8,-5.13E+03,47,272,3539
3,9667.71,17581.9,-3905.19,74,172,973
0,11511.7,64862,-5411,200,249,2983
2,11507.2,114965,-5.19E+03,44,235,4905
0,3891.56,889,-710,1,58,75
5,8801.7,28756.4,-3632.54,44,179,1626
3,4763.53,4049.31,-7.29E+02,17,79,317
3,19731.5,251716,-1.32E+04,76,540,8870
3,8035.69,9669.82,-2443.13,27,123,621
3,9394.44,53151.2,-2.73E+03,12,188,2599
5,7717.26,9450.01,-1825.41,73,107,517
0,18906.7,318641,-11280,80,539,11420
4,12787.9,49620.8,-5.00E+03,30,215,2188
0,11646.1,60230,-3737,35,240,2976
2,10473.8,37914,-4129.97,131,205,1751
0,10418.3,50387,-3642,27,194,1867
3,6959,5258.18,-2137.24,59,107,346
0,9698.77,29895,-4613,64,174,1632
0,8096.65,13960,-2420,35,178,812
5,4867.02,2995.51,-1274.98,42,67,224
0,10397.7,54941,-5356,45,212,2597
4,9869.26,28573.1,-2817.8,105,158,1403
5,7144.92,14067.4,-2326.23,86,120,809
5,21046.4,279261,-10219.3,71,468,9276
3,6583.96,5140.85,-2192.11,49,107,346
4,9556.49,20762.8,-3390.25,76,163,1162
3,3314.54,1355.73,-239.031,0,40,100
3,14913.4,66609,-2.49E+03,52,223,2059
0,7471.39,22485,-3800,13,133,1256
5,9825.88,35257.4,-4325.2,119,208,1691
3,23782.5,260814,-1.35E+04,73,540,8870
1,10652.4,68791.3,-4337.57,148,247,3373
0,7830.49,17284,-4920,11,132,850
0,10528.5,16169,-4360,127,166,770
4,9710.16,30554.4,-3144.1,120,171,1747
5,9557.81,30526.4,-3088.26,91,171,1747
4,10650.1,51458.5,-4408.81,107,209,2534
3,12130.2,60640.1,-6.01E+03,31,247,2754
4,9443.41,53391.5,-2.06E+03,32,188,2599
2,7185.62,13961.7,-2355.56,85,120,809
1,5225.84,4231.68,-1.39E+03,14,88,292
0,9245.48,25719,-3661,19,166,1408
0,21580.7,284392,-14653,51,513,9696
2,3896.37,2119.65,-880.709,22,54,165
4,9850.18,17099.7,-3855.34,75,172,973
